"","orig_url","domain"
"1","https://t.co/irWqCEZWEU","domain_1"
"2","https://t.co/lHYXEOHY6C","domain_2"
"3","https://t.co/YAo1e0xngw","domain_2"
"4","https://t.co/qqsmshaJ3N","domain_2"
"5","https://t.co/3ImaomknnA","domain_3"
"6","https://t.co/wDUEaj8Q4J","domain_4"
"7","https://t.co/rOI2NSmEJJ","domain_5"
"8","https://t.co/3Tj8ZjiN21","domain_5"
"9","https://t.co/YDUiXEfIpE","domain_5"
"10","https://t.co/rOI2NSmEJJ","domain_5"
"11","https://t.co/3Tj8ZjiN21","domain_5"
"12","https://t.co/YDUiXEfIpE","domain_5"
"13","https://t.co/o9qknbfOFX","domain_2"
"14","https://t.co/TIyUliF5c6","domain_6"
"15","https://t.co/vl5TBR3wbr","domain_7"
"16","https://t.co/rOI2NSmEJJ","domain_5"
"17","https://t.co/YDUiXEfIpE","domain_5"
"18","https://t.co/LxTjc87KLS","domain_5"
"19","https://t.co/hodWosAmWS","domain_8"
"20","https://t.co/gWNRhMSO8k","domain_9"
"21","https://t.co/eV1ahOUCZA","domain_10"
"22","https://t.co/UK8hNrbOob","domain_11"
"23","https://t.co/SxHW2TNNLf","domain_2"
"24","https://t.co/pcXarbH9An","domain_12"
"25","https://t.co/uc4j4jHvGR","domain_2"
"26","https://t.co/4IzFdYC3cg","domain_2"
"27","https://t.co/8kscqKfKkF","domain_2"
"28","https://t.co/cYoMPZ1A0Z","domain_13"
"29","https://t.co/iCSjGZ9tE1","domain_7"
"30","https://t.co/9FxmN0l0Bd","domain_2"
"31","https://t.co/6vMe7P5XhC","domain_2"
"32","https://t.co/9FxPiXQuJt","domain_14"
"33","https://t.co/aA5BJgWfDv","domain_15"
"34","https://t.co/7MLMsUzV1Z","domain_4"
"35","https://t.co/rwzbFVNXER","domain_2"
"36","https://t.co/0GHk693EgJ","domain_16"
"37","https://t.co/pmlOhZuRWR","domain_17"
"38","https://t.co/SL0Oqn0Vyr","domain_17"
"39","https://t.co/GKYe6gjTk5","domain_18"
"40","https://t.co/S2kXVM0cBA","domain_19"
"41","https://t.co/YbJezKuRW1","domain_14"
"42","https://t.co/kKFaSJv6Cj","domain_20"
"43","https://t.co/7VG8Df9pLE","domain_21"
"44","https://t.co/Ysxun5vCeh","domain_2"
"45","https://t.co/Rs22LJ4qFp","domain_22"
"46","https://t.co/Ld0unIYw4k","domain_23"
"47","https://t.co/hylMo0WgFI","domain_17"
"48","https://t.co/LwI3prBa31","domain_24"
"49","https://t.co/p18lzRlmy6","domain_25"
"50","https://t.co/Oia5fxi4gM","domain_2"
"51","https://t.co/VCkIT6EDEv","domain_26"
"52","https://t.co/bPTmlF4P10","domain_27"
"53","https://t.co/QHmXuljSX9","domain_2"
"54","https://t.co/6MpnyCl8PK","domain_28"
"55","https://t.co/gFJfgTodad","domain_2"
"56","https://t.co/UgXhHErrxS","domain_14"
"57","https://t.co/JQLzUA6YzQ","domain_4"
"58","https://t.co/yNXnvVKCDA","domain_29"
"59","https://t.co/weQPesENku","domain_2"
"60","https://t.co/THyzOMVWU0","domain_29"
"61","https://t.co/83jOO0xk29","domain_2"
"62","https://t.co/gRPeF7yAWG","domain_29"
"63","https://t.co/GGmvzT58vE","domain_2"
"64","https://t.co/vAM5POdGyw","domain_29"
"65","https://t.co/zEVakJaPcz","domain_2"
"66","https://t.co/xMWODFMtUI","domain_2"
"67","https://t.co/M4JDZMGJoW","domain_29"
"68","https://t.co/n0uhAsfkBv","domain_2"
"69","https://t.co/vAM5POdGyw","domain_29"
"70","https://t.co/zEVakJaPcz","domain_2"
"71","https://t.co/e14EPzhotH","domain_29"
"72","https://t.co/22a9D5DO6q","domain_2"
"73","https://t.co/engTl5wrGp","domain_30"
"74","https://t.co/THyzOMVWU0","domain_29"
"75","https://t.co/83jOO0xk29","domain_2"
"76","https://t.co/THyzOMVWU0","domain_29"
"77","https://t.co/83jOO0xk29","domain_2"
"78","https://t.co/TBm9FQb8cW","domain_31"
"79","https://t.co/WZTz4hgMVq","domain_32"
"80","https://t.co/THyzOMVWU0","domain_29"
"81","https://t.co/83jOO0xk29","domain_2"
"82","https://t.co/f6ntUc734Z","domain_33"
"83","https://t.co/UjK0e5GBcC","domain_13"
"84","https://t.co/uxYZyaygTy","domain_2"
"85","https://t.co/38Nhq9moEf","domain_34"
"86","https://t.co/YVVPznZmXg","domain_35"
"87","https://t.co/6CZ3bOhRd4","domain_36"
"88","https://t.co/bKpFpOGySI","domain_35"
"89","https://t.co/eqAG6rz1vO","domain_37"
"90","https://t.co/TYJxrFd3St","domain_4"
"91","https://t.co/i7kZtevb2v","domain_38"
"92","https://t.co/p64xRVgJIk","domain_39"
"93","https://t.co/LsMx2vwr3J","domain_35"
"94","https://t.co/TagZbcXFj0","domain_35"
"95","https://t.co/cezhq7CzLl","domain_13"
"96","https://t.co/TfcdRONRA6","domain_4"
"97","https://t.co/kQ9aE6AP2B","domain_4"
"98","https://t.co/hG8u2kR1Rq","domain_4"
"99","https://t.co/gibyQHhKpk","domain_36"
"100","https://t.co/M9IG3WQ8Lq","domain_35"
"101","https://t.co/6JfgDnZRlC","domain_14"
"102","https://t.co/Yh1cGlN3rl","domain_40"
"103","https://t.co/6F5ShPKjOB","domain_2"
"104","https://t.co/iNKU28vjJj","domain_2"
"105","https://t.co/miw2i0pQxz","domain_35"
"106","https://t.co/xDxDPrcPnS","domain_14"
"107","https://t.co/3XIcUvlvlJ","domain_4"
"108","https://t.co/KXxnSZp6nk","domain_2"
"109","https://t.co/ZhJlfLBHZL","domain_2"
"110","https://t.co/iECc1JDOub","domain_2"
"111","https://t.co/kz35rGngJF","domain_41"
"112","https://t.co/AY6zzcUpnz","domain_42"
"113","https://t.co/sC9dNS41Mc","domain_43"
"114","https://t.co/mDnUGVuBwN","domain_44"
"115","https://t.co/zdsug0UjS7","domain_45"
"116","https://t.co/Mj2jQ2pSv6","domain_46"
"117","https://t.co/Xum8YLcb4Q","domain_43"
"118","https://t.co/4evTTqPEia","domain_32"
"119","https://t.co/Q5XTkaKM08","domain_47"
"120","https://t.co/HFy5V3sLBB","domain_2"
"121","https://t.co/7X3PDDbT0Z","domain_32"
"122","https://t.co/7xGLah10zL","domain_42"
"123","https://t.co/THmblAATzP","domain_43"
"124","https://t.co/ZSbErqNN9n","domain_2"
"125","https://t.co/q8IVrzOJZv","domain_32"
"126","https://t.co/8E7rY8eBMf","domain_48"
"127","https://t.co/4oa6SWlxmR","domain_49"
"128","https://t.co/FCqmKFfflW","domain_50"
"129","https://t.co/vAyaYmbNgu","domain_43"
"130","https://t.co/UJrX9kgawp","domain_32"
"131","https://t.co/Kp2Lf4AuTe","domain_32"
"132","https://t.co/hPvOdUD7iP","domain_2"
"133","https://t.co/MEUDJwaaNg","domain_2"
"134","https://t.co/ShzPyIQok5","domain_43"
"135","https://t.co/ySpON4d6Qo","domain_43"
"136","https://t.co/MG1lpGr0RM","domain_2"
"137","https://t.co/SeK6MQ6NJF","domain_13"
"138","https://t.co/MnmyJXQ9go","domain_51"
"139","https://t.co/FueRk0gWui","domain_50"
"140","https://t.co/Mv7GgGlmVc","domain_43"
"141","https://t.co/X5YEUYLT1X","domain_52"
"142","https://t.co/2UgrMd1z1n","domain_43"
"143","https://t.co/d9sOwi1G21","domain_53"
"144","https://t.co/OPxmdPIwAu","domain_54"
"145","https://t.co/O8BJXnEPQm","domain_43"
"146","https://t.co/X2Qsjod40u","domain_43"
"147","https://t.co/7ZqIreY7Te","domain_55"
"148","https://t.co/9Qp3PqPwZv","domain_2"
"149","https://t.co/9d4nAzOI94","domain_43"
"150","https://t.co/0BkmuhYSFx","domain_2"
"151","https://t.co/1xPw292tJe","domain_2"
"152","https://t.co/cTL5xzIHxA","domain_56"
"153","https://t.co/1kDOZTD9mv","domain_2"
"154","https://t.co/cSsc8HcsXn","domain_56"
"155","https://t.co/jBlGyLCsAy","domain_2"
"156","https://t.co/tHrhKHOGcU","domain_56"
"157","https://t.co/tZSZmF2qxE","domain_2"
"158","https://t.co/C0nKGp6w03","domain_56"
"159","https://t.co/IMWmfDJSSn","domain_2"
"160","https://t.co/IrFCn71sZv","domain_57"
"161","https://t.co/xn09Mx6sxy","domain_2"
"162","https://t.co/yangEQBUQW","domain_58"
"163","https://t.co/jQ2eH5KGLt","domain_2"
"164","https://t.co/sMlwjunD09","domain_2"
"165","https://t.co/D1sPSwl66H","domain_59"
"166","https://t.co/F1BAkpNyn6","domain_56"
"167","https://t.co/lZXwoAyE4x","domain_2"
"168","https://t.co/UR7QkqG1wf","domain_2"
"169","https://t.co/7rakhP3bWm","domain_60"
"170","https://t.co/4JNo677Zkv","domain_2"
"171","https://t.co/sPfkE5Kqu4","domain_4"
"172","https://t.co/GB8ispiaRP","domain_61"
"173","https://t.co/Bx0l87iNc8","domain_2"
"174","https://t.co/RUHxGlo18q","domain_62"
"175","https://t.co/HbUpkzWdWq","domain_62"
"176","https://t.co/pyehwodWun","domain_63"
"177","https://t.co/pB2N77nSKz","domain_2"
"178","https://t.co/I2hHvIUmTm","domain_4"
"179","https://t.co/m8MvDSPJp7","domain_61"
"180","https://t.co/sW1sBua3mN","domain_61"
"181","https://t.co/3tsSXPHuFE","domain_61"
"182","https://t.co/3tsSXPHuFE","domain_61"
"183","https://t.co/lATVr8RZCK","domain_61"
"184","https://t.co/KPQk0C4G0M","domain_64"
"185","https://t.co/Zhp0SOwXRy","domain_2"
"186","https://t.co/e8dl1lNCVu","domain_61"
"187","https://t.co/WJsCdvCevH","domain_61"
"188","https://t.co/W5Rhtuey90","domain_61"
"189","https://t.co/ZhXua8kmae","domain_61"
"190","https://t.co/MatIJwkzbh","domain_61"
"191","https://t.co/e8dl1lNCVu","domain_61"
"192","https://t.co/8AZjFF8eSi","domain_61"
"193","https://t.co/e8dl1lNCVu","domain_61"
"194","https://t.co/d82wlcP49S","domain_61"
"195","https://t.co/KAlDycTC4H","domain_61"
"196","https://t.co/KtTYiTOw64","domain_65"
"197","https://t.co/WM5l8PJ2iY","domain_61"
"198","https://t.co/wVobVVtXKg","domain_64"
"199","https://t.co/TrKg2tpWJm","domain_61"
"200","https://t.co/x2Wn7O2a3w","domain_61"
"201","https://t.co/k0q4fnBzss","domain_61"
"202","https://t.co/IKUAYUSEqt","domain_61"
"203","https://t.co/BQBHUyfmE9","domain_2"
"204","https://t.co/546utTXzAm","domain_61"
"205","https://t.co/FLcQQeZnVW","domain_61"
"206","https://t.co/pyehwodWun","domain_63"
"207","https://t.co/8jxqL8Cv8Z","domain_2"
"208","https://t.co/FaXDzI90dY","domain_61"
"209","https://t.co/n6VeOjW3S8","domain_61"
"210","https://t.co/0fekgyBY5F","domain_61"
"211","https://t.co/SB5R7ShcCJ","domain_61"
"212","https://t.co/i0z3k0chgg","domain_61"
"213","https://t.co/OCurjyDRcn","domain_4"
"214","https://t.co/jrFjgaAc9F","domain_4"
"215","https://t.co/my8q1uWIjn","domain_2"
"216","https://t.co/MuL1J9AEUx","domain_4"
"217","https://t.co/3zqL0qbLUw","domain_66"
"218","https://t.co/xIZkjffF29","domain_67"
"219","https://t.co/u66kYg11ZD","domain_4"
"220","https://t.co/HsleABS1Yr","domain_4"
"221","https://t.co/N5VImOqhBG","domain_2"
"222","https://t.co/2umSxRzot3","domain_4"
"223","https://t.co/OCurjyDRcn","domain_4"
"224","https://t.co/fS012trUDG","domain_68"
"225","https://t.co/oY9ES9FVlt","domain_69"
"226","https://t.co/e89GPNEPzT","domain_4"
"227","https://t.co/TNgYE2FKlv","domain_4"
"228","https://t.co/ejdHvLKXAf","domain_2"
"229","https://t.co/TnGPsHNL87","domain_70"
"230","https://t.co/imzLNZLtF5","domain_71"
"231","https://t.co/oQw8Jx6rTs","domain_2"
